study_hours,attendance_rate,prev_exam_score,grade
6.6,0.78,97,A
8.2,0.79,42,C
5.6,0.64,95,A
5.3,0.88,45,B
2.4,0.59,44,F
0.9,0.66,44,D
9.0,0.71,93,A
9.0,0.75,86,A
6.3,0.62,62,B
3.4,0.56,88,D
3.5,0.81,48,D
7.3,0.64,74,A
9.0,0.79,59,A
8.9,0.58,97,A
7.8,0.74,88,A
6.4,0.77,98,A
0.8,0.53,81,C
1.6,0.67,74,D
9.0,0.57,89,A
6.1,0.53,57,D
0.1,0.99,56,D
1.0,0.66,63,F
6.6,0.9,42,C
0.1,0.63,71,D
1.6,0.84,74,D
5.5,0.88,77,A
6.9,0.8,52,B
6.5,0.74,95,A
2.2,0.71,86,B
7.1,0.67,64,B
2.4,0.96,48,D
3.3,0.92,43,D
7.5,0.98,53,A
6.5,0.56,76,B
8.5,0.87,73,A
6.6,0.97,50,B
5.7,0.59,80,B
0.9,0.53,95,D
3.7,0.87,42,D
2.7,0.79,98,B
2.4,0.92,67,C
9.7,0.57,68,A
3.9,0.9,48,C
8.9,0.6,42,B
6.3,0.58,64,D
7.9,0.58,73,A
5.0,0.91,51,B
5.8,0.83,81,A
4.9,0.76,48,C
2.0,0.68,54,F
7.2,0.94,79,A
2.8,0.7,64,C
0.2,0.91,44,F
6.5,0.72,50,C
1.8,0.69,98,B
9.4,0.73,73,A
9.5,0.65,63,B
9.1,0.87,99,A
3.7,0.75,54,C
0.2,0.62,77,D
9.3,0.95,47,A
4.3,0.69,98,B
9.7,0.77,44,A
9.6,0.95,87,A
8.5,0.81,65,A
2.9,0.56,57,D
3.9,0.97,45,C
8.5,0.81,76,A
3.2,0.67,99,C
1.7,0.57,87,D
5.6,0.9,52,C
9.4,0.81,67,A
7.0,0.77,44,C
5.7,0.95,52,C
1.0,0.89,56,D
6.2,0.58,89,B
9.9,0.66,79,A
1.4,0.62,84,D
5.2,0.87,71,B
8.8,0.52,68,A
7.4,0.78,90,A
7.0,0.88,97,A
7.0,0.94,42,C
3.6,0.67,95,A
2.9,0.91,79,B
8.1,0.56,73,B
8.1,0.92,79,A
8.7,0.56,66,A
9.1,0.7,52,B
5.1,0.9,84,A
5.0,0.57,72,C
8.0,0.61,45,D
6.5,0.86,63,A
7.0,0.86,58,B
8.0,0.82,55,B
8.9,0.85,79,A
3.4,0.77,67,B
3.8,0.63,72,C
0.9,0.67,98,B
5.8,0.59,98,A
0.4,0.95,87,C
4.7,0.79,80,A
5.4,0.7,52,D
2.9,0.73,82,C
5.9,0.97,84,A
0.3,0.58,64,F
0.4,0.79,92,C
8.2,0.75,81,A
3.6,0.81,75,C
1.3,0.51,66,F
5.2,0.94,77,B
7.7,0.97,99,A
2.2,0.78,46,D
6.2,0.85,44,C
0.9,0.96,82,B
0.5,0.85,84,C
5.3,0.58,97,A
5.4,0.79,96,A
6.4,0.8,90,A
7.3,0.71,70,C
9.8,0.87,62,A
5.2,0.97,81,A
3.2,0.96,49,C
8.0,0.73,71,A
2.7,0.56,82,C
4.4,0.99,92,A
0.8,0.92,69,D
0.3,0.56,78,D
9.6,0.96,70,A
8.4,0.93,57,B
7.0,0.76,75,A
4.1,0.8,41,D
1.7,0.7,53,F
1.6,0.53,52,F
2.5,0.67,68,D
5.5,0.9,51,C
7.1,0.5,78,C
6.6,0.67,41,D
2.8,0.7,71,C
9.5,0.77,52,A
7.4,0.96,85,A
5.5,0.67,66,B
6.1,0.67,88,A
4.2,0.87,80,B
2.5,0.73,56,F
3.6,0.61,79,B
7.6,0.73,70,B
0.1,0.57,73,D
1.2,0.59,99,B
0.5,0.75,63,D
0.4,0.71,84,C
8.6,0.96,74,A
7.0,0.68,87,A
4.7,0.79,45,D
1.0,0.82,58,D
4.9,0.51,69,C
4.7,0.83,46,C
1.7,0.59,49,F
4.3,0.98,80,A
4.0,0.57,71,C
6.2,0.71,73,C
6.4,0.54,67,C
0.5,1.0,99,A
3.7,0.75,54,D
6.3,0.8,69,A
5.0,0.53,76,B
8.6,0.87,68,B
6.6,0.6,61,C
1.6,0.95,43,D
0.7,0.6,59,F
6.4,0.6,71,B
0.3,0.52,75,D
5.9,0.74,89,A
9.4,0.78,43,B
5.8,0.53,66,B
3.9,0.89,56,C
6.4,0.73,51,C
4.6,0.76,61,C
5.5,0.72,56,D
9.4,0.7,49,B
3.9,0.78,93,A
9.6,0.58,40,B
9.1,0.59,61,B
2.0,0.93,65,C
0.7,0.97,95,A
1.0,0.69,98,C
0.2,0.64,57,F
0.9,0.82,89,C
6.8,0.7,53,B
0.7,0.51,86,D
3.2,0.58,68,D
8.4,0.86,51,A
0.2,0.83,75,C
8.1,0.51,98,A
2.8,0.61,74,D
1.2,0.62,91,C
7.0,0.84,51,B
6.3,0.51,46,C
8.8,0.55,68,A
7.4,0.9,50,A
8.0,0.59,72,A
2.8,0.83,45,C
1.8,0.62,86,D
7.5,0.55,54,B
8.1,0.62,71,B
9.9,0.86,90,A
4.1,0.93,50,C
3.7,0.92,97,A
7.8,0.7,62,B
3.4,0.83,65,C
9.3,0.6,73,A
8.6,0.65,85,A
4.3,0.95,73,B
7.5,0.51,68,A
7.5,0.54,43,C
1.0,0.6,56,F
9.0,0.51,74,B
5.1,0.59,52,C
8.3,0.79,80,A
3.2,0.71,78,C
9.0,0.95,54,A
3.9,0.91,94,B
0.1,0.67,68,F
9.1,0.63,68,A
0.9,0.69,50,D
3.2,0.8,91,B
9.5,0.63,71,A
9.5,0.81,41,A
5.7,0.7,86,B
6.3,0.78,53,B
4.5,0.72,59,B
2.9,0.65,61,D
3.3,0.97,50,C
6.7,0.88,66,A
7.5,0.57,42,D
7.9,0.93,56,A
7.9,0.74,83,A
0.9,0.95,95,B
4.9,0.9,67,B
0.6,0.71,68,D
5.5,0.51,60,C
4.4,0.63,86,C
8.9,0.77,55,A
3.5,0.82,76,C
1.2,0.63,98,C
1.4,0.57,59,F
7.6,0.92,45,A
6.2,0.99,58,B
1.0,0.76,96,B
0.8,0.59,44,F
7.0,0.64,42,C
0.7,0.51,98,C
8.2,0.96,40,B
7.1,0.56,97,A
0.8,0.79,99,C
0.8,0.64,77,D
9.9,0.78,54,B
3.7,0.83,73,C
3.7,0.91,74,C
8.1,0.6,88,A
9.5,0.51,64,A
9.9,0.57,63,A
7.5,0.95,51,B
3.8,0.94,57,C
0.8,0.8,54,F
7.8,0.8,83,A
5.6,0.83,55,B
4.2,0.59,66,D
9.1,0.96,47,B
1.1,0.71,99,B
4.9,0.69,85,B
0.1,0.76,64,F
4.7,0.52,56,D
0.6,0.58,68,F
1.2,0.87,92,B
1.2,0.54,47,F
6.5,0.8,54,B
7.5,0.62,66,A
5.8,0.69,85,A
9.6,0.64,89,A
3.7,0.68,91,B
2.9,0.86,46,D
8.7,0.65,42,C
2.2,0.78,68,D
9.6,0.74,83,A
0.1,0.83,92,C
9.7,0.97,63,A
0.4,0.87,99,B
8.9,0.61,97,A
5.3,0.52,42,D
9.9,0.63,59,A
0.7,0.8,85,C
5.5,0.53,54,D
9.7,0.75,64,A
5.2,0.8,69,C
6.3,0.67,53,C
7.0,0.89,46,B
4.5,0.55,56,D
6.3,0.54,83,B
5.8,0.86,59,B
9.0,0.75,75,A
0.5,0.84,48,F
2.8,0.72,77,B
9.5,0.62,87,A
8.9,0.91,96,A
4.6,0.9,99,A
6.2,0.85,61,B
2.8,0.64,93,C
1.9,0.8,92,B
4.6,0.68,92,B
3.5,0.55,41,F
5.8,0.96,63,A
0.8,0.57,47,F
9.7,0.98,50,A
9.9,0.72,52,A
